id,criterion,finding_type,priority_level,title,description,enhanced_confidence,criteria_scores,criteria_met,impact_score,companies_affected,quote_count,selected_quotes,themes,deal_impacts,generated_at,created_at,client_id,credibility_tier,evidence_threshold_met,quote_ids_used,processing_metadata
125,product_capability,critical_issue,priority,Product Capability - Critical_Issue (critical relevance),"Critical feedback on Functionality, features, performance, and core solution fit with 4.1 average score from 96 quotes across 4 companies. Key themes: strong, product, indicating. Deal impacts: neutral (75), support_focus (15)",10.00,"""{\""novelty\"": 1, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 0, \""tension_contrast\"": 1, \""metric_quantification\"": 1}""",7,4.13,4,96,"""[{\""text\"": \""If to have human transcription done in a matter of like a, like a few hours, I feel like the cost is going to be significant. So in most cases we don't have it's not that pressing. If I could have som\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}, {\""text\"": \""Well, accuracy is important. The accuracy was one of the. So speed cost accuracy. And because ultimately less accuracy is less speed. So you can spit out a transcript really fast. But if I still have \"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - commercial_focus\""}, {\""text\"": \""Yeah, it's been good. I work at a law firm, so I know that we use it a lot for transcripts on videos and stuff to use it to court. So that's been a lot better to use and it's been more cost efficient \"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}]""","""[\""strong\"", \""product\"", \""indicating\"", \""product's\"", \""response\"", \""functionality\"", \""capability.\"", \""highlights\"", \""discusses\"", \""specific\"", \""emphasizes\""]""","""{\""neutral\"": 75, \""support_focus\"": 15, \""deal_breaking,neutral,commercial_focus,security_focus\"": 1, \""commercial_focus\"": 1, \""implementation_focus\"": 2, \""minor\"": 2}""",2025-07-07 23:40:00.203544,2025-07-07 23:40:00.264961,Rev,Unclassified,false,[],{}
126,product_capability,important_feedback,priority,Product Capability - Important_Feedback (high relevance),"Strong feedback on Functionality, features, performance, and core solution fit with 3.0 average score from 49 quotes across 4 companies. Key themes: product, assistance, indicating. Deal impacts: neutral (43), support_focus (3)",10.00,"""{\""novelty\"": 1, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 0, \""tension_contrast\"": 1, \""metric_quantification\"": 0}""",6,3.00,4,49,"""[{\""text\"": \""I guess when you want things done, it doesn't really matter how much it's going to cost. If it does an effective job and it's accurate and everything else, then I don't know that money should necessar\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - commercial_focus\""}, {\""text\"": \""That's a good question. I feel like it works well. It's easy to use. So I would say since I didn't even know that they use AI now and that that brings down the cost, I would maybe promote that a littl\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}, {\""text\"": \""they use AI now and that that brings down the cost, I would maybe promote that a little bit more or make it more obvious on the website just to know to allow people to have that option more visible. B\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}]""","""[\""product\"", \""assistance\"", \""indicating\"", \""indicates\"", \""recording\"", \""legal\"", \""response\"", \""current\"", \""functionality\"", \""respondent\"", \""dissatisfaction\"", \""specific\"", \""satisfied\""]""","""{\""neutral\"": 43, \""support_focus\"": 3, \""commercial_focus\"": 1, \""minor,security_focus\"": 1, \""deal_breaking\"": 1}""",2025-07-07 23:40:00.203589,2025-07-07 23:40:00.366781,Rev,Unclassified,false,[],{}
127,implementation_onboarding,important_feedback,priority,Implementation Onboarding - Important_Feedback (high relevance),"Strong feedback on Deployment ease, time-to-value, setup complexity with 3.0 average score from 48 quotes across 3 companies. Key themes: mention, onboarding., being. Deal impacts: neutral (37), support_focus (9)",10.00,"""{\""novelty\"": 1, \""actionability\"": 1, \""specificity\"": 0, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 0, \""tension_contrast\"": 1, \""metric_quantification\"": 1}""",6,3.00,3,48,"""[{\""text\"": \""If to have human transcription done in a matter of like a, like a few hours, I feel like the cost is going to be significant. So in most cases we don't have it's not that pressing. If I could have som\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}, {\""text\"": \""Yeah, it's been good. I work at a law firm, so I know that we use it a lot for transcripts on videos and stuff to use it to court. So that's been a lot better to use and it's been more cost efficient \"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}, {\""text\"": \""What was important to me was the accuracy of the transcription, the ease of use, and the cost-effectiveness. Those were the main criteria that I looked at when evaluating tools like Rev for my work.\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}]""","""[\""mention\"", \""onboarding.\"", \""being\"", \""experience\"", \""suggests\"", \""onboarding\"", \""process\"", \""experience.\"", \""positive\""]""","""{\""neutral\"": 37, \""support_focus\"": 9, \""minor,support_focus\"": 1, \""implementation_focus\"": 1}""",2025-07-07 23:40:00.203718,2025-07-07 23:40:00.467932,Rev,Unclassified,false,[],{}
128,implementation_onboarding,moderate_concern,priority,Implementation Onboarding - Moderate_Concern (moderate relevance),"Moderate feedback on Deployment ease, time-to-value, setup complexity with 2.0 average score from 78 quotes across 4 companies. Key themes: mention, implementation, using. Deal impacts: neutral (57), support_focus (12)",10.00,"""{\""novelty\"": 0, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 1, \""tension_contrast\"": 1, \""metric_quantification\"": 1}""",7,2.00,4,78,"""[{\""text\"": \""Those specific ones? We did not. But I know in the future if it was case specific, it would be. They kind of go into the cost totals and things like that. So we'd probably have to do it separately in \"", \""score\"": 2.0, \""attribution\"": \""Score: 2.0 - commercial_focus\""}, {\""text\"": \""they use AI now and that that brings down the cost, I would maybe promote that a little bit more or make it more obvious on the website just to know to allow people to have that option more visible. B\"", \""score\"": 2.0, \""attribution\"": \""Score: 2.0 - neutral\""}, {\""text\"": \""Both times we did it in fact the same thing with the AI one we just did it that for that one use. I think if we used it more, we may do like. Because I know there were plans, we'd probably do somethin\"", \""score\"": 2.0, \""attribution\"": \""Score: 2.0 - neutral\""}]""","""[\""mention\"", \""implementation\"", \""using\"", \""though\"", \""which\"", \""implies\"", \""needing\"", \""onboarding\"", \""suggests\"", \""level\"", \""consideration\"", \""strong\""]""","""{\""neutral\"": 57, \""support_focus\"": 12, \""commercial_focus\"": 5, \""security_focus,support_focus\"": 2, \""minor,security_focus\"": 1, \""security_focus\"": 1}""",2025-07-07 23:40:00.203743,2025-07-07 23:40:00.564191,Rev,Unclassified,false,[],{}
129,implementation_onboarding,moderate_concern,priority,Implementation Onboarding - Moderate_Concern (moderate relevance),"Moderate feedback on Deployment ease, time-to-value, setup complexity with 2.0 average score from 5 quotes from Evenstad Law. Key themes: mention, though, primary. Deal impacts: neutral (4), commercial_focus,security_focus (1)",10.00,"""{\""novelty\"": 1, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 0, \""recurrence\"": 1, \""stakeholder_weight\"": 1, \""tension_contrast\"": 1, \""metric_quantification\"": 0}""",6,2.00,1,5,"""[{\""text\"": \""If you were the CEO of Rev, what would you change to better serve firms like yours? I, you know, one thing would be. You know, get in front of folks like me or, you know, get the product in front of f\"", \""score\"": 2.0, \""attribution\"": \""Score: 2.0 - neutral\""}, {\""text\"": \""The state bar, who have a lot of problems with, it is a guild and they will protect us and they will work with lawmakers, in my opinion, and make sure that human attorneys still need to, you know, app\"", \""score\"": 2.0, \""attribution\"": \""Score: 2.0 - neutral\""}, {\""text\"": \""I don't know, with her specifically. So I'm a member of CAALA, do you know what CAALA is? The plaintiff? CAALA is Consumer attorneys Association of Los Angeles. It's the plaintiff's bar. It's a volunt\"", \""score\"": 2.0, \""attribution\"": \""Score: 2.0 - neutral\""}]""","""[\""mention\"", \""though\"", \""primary\"", \""suggests\"", \""service\""]""","""{\""neutral\"": 4, \""commercial_focus,security_focus\"": 1}""",2025-07-07 23:40:00.203764,2025-07-07 23:40:00.669849,Rev,Unclassified,false,[],{}
130,integration_technical_fit,critical_issue,priority,Integration Technical Fit - Critical_Issue (critical relevance),"Critical feedback on APIs, data compatibility, technical architecture alignment with 4.0 average score from 8 quotes from Unknown. Key themes: technical, integration, strong. Deal impacts: neutral (4), support_focus (2)",10.00,"""{\""novelty\"": 0, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 0, \""tension_contrast\"": 1, \""metric_quantification\"": 1}""",6,4.00,1,8,"""[{\""text\"": \""they use AI now and that that brings down the cost, I would maybe promote that a little bit more or make it more obvious on the website just to know to allow people to have that option more visible. B\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}, {\""text\"": \""That's a good question. I feel like it works well. It's easy to use. So I would say since I didn't even know that they use AI now and that that brings down the cost, I would maybe promote that a littl\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}, {\""text\"": \""So it'd be cool to have an integration between My Case and Rev. So for example, I upload a document to My Case, so My Case becomes my former physical folder, so it would have all my video files. Then \"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - support_focus\""}]""","""[\""technical\"", \""integration\"", \""strong\"", \""mention\"", \""highlights\""]""","""{\""neutral\"": 4, \""support_focus\"": 2, \""deal_breaking\"": 1, \""security_focus\"": 1}""",2025-07-07 23:40:00.203842,2025-07-07 23:40:00.770198,Rev,Unclassified,false,[],{}
131,speed_responsiveness,critical_issue,priority,Speed Responsiveness - Critical_Issue (critical relevance),"Critical feedback on Implementation timeline, decision-making speed, agility with 4.1 average score from 16 quotes from Unknown. Key themes: speed, quickly, ability. Deal impacts: neutral (10), support_focus (5)",10.00,"""{\""novelty\"": 0, \""actionability\"": 1, \""specificity\"": 0, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 1, \""tension_contrast\"": 1, \""metric_quantification\"": 0}""",5,4.13,1,16,"""[{\""text\"": \""For us the most important thing was speed and ease of use. And then I would say cost definitely ranks up there. Security is always something that we're concerned about just given the nature of our bus\"", \""score\"": 5.0, \""attribution\"": \""Score: 5.0 - neutral,commercial_focus,security_focus\""}, {\""text\"": \""So axon has a transcription service. And so axon does this amazing freaking thing. And I was like holy shit. Because it was like just deal breaking because like instead of like so I'm in trial and lik\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - support_focus\""}, {\""text\"": \""And so used it on that. And then ask them to do me a favor on the kid case, because I had 3.5 hour interviews with all three of my victims, and I was like, do you know how freaking long it's going to \"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - support_focus\""}]""","""[\""speed\"", \""quickly\"", \""ability\"", \""indicates\"", \""responsiveness\""]""","""{\""neutral\"": 10, \""support_focus\"": 5, \""neutral,commercial_focus,security_focus\"": 1}""",2025-07-07 23:40:00.204498,2025-07-07 23:40:00.884915,Rev,Unclassified,false,[],{}
132,speed_responsiveness,critical_issue,priority,Speed Responsiveness - Critical_Issue (critical relevance),"Critical feedback on Implementation timeline, decision-making speed, agility with 4.2 average score from 5 quotes from Altair Law. Key themes: strong, speed, turnaround. Deal impacts: neutral (4), deal_breaking,neutral,commercial_focus,security_focus (1)",9.75,"""{\""novelty\"": 0, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 0, \""tension_contrast\"": 1, \""metric_quantification\"": 0}""",5,4.20,1,5,"""[{\""text\"": \""If to have human transcription done in a matter of like a, like a few hours, I feel like the cost is going to be significant. So in most cases we don't have it's not that pressing. If I could have som\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}, {\""text\"": \""Yes, we have been using Rev for our transcription needs for the past year. It has been a game-changer for us in terms of efficiency and accuracy. The platform is easy to use, and the turnaround time i\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}, {\""text\"": \""So in the work that we do, we have, some of the first things I use this for was a 911 call. 911 call, audio file. That was an interview conducted by an insurance company of our client. So I wanted to \"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}]""","""[\""strong\"", \""speed\"", \""turnaround\"", \""indicates\"", \""transcription\""]""","""{\""neutral\"": 4, \""deal_breaking,neutral,commercial_focus,security_focus\"": 1}""",2025-07-07 23:40:00.204517,2025-07-07 23:40:00.981757,Rev,Unclassified,false,[],{}
133,commercial_terms,critical_issue,priority,Commercial Terms - Critical_Issue (critical relevance),"Critical feedback on Price, contract flexibility, ROI, total cost of ownership with 4.2 average score from 6 quotes from Reilly Law Firm. Key themes: expresses, indicating, pricing. Deal impacts: support_focus (3), commercial_focus (2)",9.10,"""{\""novelty\"": 0, \""actionability\"": 1, \""specificity\"": 1, \""materiality\"": 1, \""recurrence\"": 1, \""stakeholder_weight\"": 1, \""tension_contrast\"": 1, \""metric_quantification\"": 1}""",7,4.17,1,6,"""[{\""text\"": \""Well, Rev just did it in 11 minutes. And so now I'm like, I just lost five hours of billing. You know what I mean? Yeah. Now, I don't particularly care that much about it because my court appointments\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - support_focus\""}, {\""text\"": \""Sure. So one was that, I didn't. I mean, one was I just don't trust him enough on anything. So the fact that he was using it, I was like, I don't know. Kind of because I was just like, I think he's no\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - neutral\""}, {\""text\"": \""And I didn't even know they had that because Caleb didn't tell me that. Caleb only told me I could do it individually. Like I may sign up for that, like, right now.\"", \""score\"": 4.0, \""attribution\"": \""Score: 4.0 - commercial_focus\""}]""","""[\""expresses\"", \""indicating\"", \""pricing\"", \""respondent\"", \""strong\""]""","""{\""support_focus\"": 3, \""commercial_focus\"": 2, \""neutral\"": 1}""",2025-07-07 23:40:00.204378,2025-07-07 23:40:01.083714,Rev,Unclassified,false,[],{}
134,sales_experience_partnership,important_feedback,priority,Sales Experience Partnership - Important_Feedback (high relevance),"Strong feedback on Buying process quality, relationship building, trust with 3.0 average score from 3 quotes from Evenstad Law. Key themes: positive, respondent, emphasizes. Deal impacts: neutral (2), support_focus (1)",9.00,"""{\""novelty\"": 0, \""actionability\"": 1, \""specificity\"": 0, \""materiality\"": 0, \""recurrence\"": 1, \""stakeholder_weight\"": 1, \""tension_contrast\"": 1, \""metric_quantification\"": 0}""",4,3.00,1,3,"""[{\""text\"": \""If you were the CEO of Rev, what would you change to better serve firms like yours? I, you know, one thing would be. You know, get in front of folks like me or, you know, get the product in front of f\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}, {\""text\"": \""The state bar, who have a lot of problems with, it is a guild and they will protect us and they will work with lawmakers, in my opinion, and make sure that human attorneys still need to, you know, app\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - neutral\""}, {\""text\"": \""I had a criminal case where there was a lot of body worn video. And I needed a transcription. And there was, like, I forget how long it was, but it was like, at least 30 minutes and different people t\"", \""score\"": 3.0, \""attribution\"": \""Score: 3.0 - support_focus\""}]""","""[\""positive\"", \""respondent\"", \""emphasizes\"", \""importance\"", \""marketing\""]""","""{\""neutral\"": 2, \""support_focus\"": 1}""",2025-07-07 23:40:00.204267,2025-07-07 23:40:01.1863,Rev,Unclassified,false,[],{}
