id,criterion,finding_type,priority_level,title,description,enhanced_confidence,criteria_scores,criteria_met,impact_score,companies_affected,quote_count,selected_quotes,themes,deal_impacts,generated_at,created_at,client_id,credibility_tier,evidence_threshold_met,quote_ids_used,processing_metadata,criteria_prioritization_evidence,interview_companies,interviewee_names
2320,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:24.061269,2025-07-11 16:14:24.495216,Rev,Unclassified,true,[],{},{},[],[]
2321,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:24.569213,2025-07-11 16:14:24.661687,Rev,Unclassified,true,[],{},{},[],[]
2322,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:24.6765,2025-07-11 16:14:24.781656,Rev,Unclassified,true,[],{},{},[],[]
2323,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:24.799996,2025-07-11 16:14:24.884049,Rev,Unclassified,true,[],{},{},[],[]
2324,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:24.905655,2025-07-11 16:14:24.996687,Rev,Unclassified,true,[],{},{},[],[]
2325,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.014373,2025-07-11 16:14:25.130357,Rev,Unclassified,true,[],{},{},[],[]
2326,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.169436,2025-07-11 16:14:25.254827,Rev,Unclassified,true,[],{},{},[],[]
2327,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.283095,2025-07-11 16:14:25.363659,Rev,Unclassified,true,[],{},{},[],[]
2328,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.380223,2025-07-11 16:14:25.470321,Rev,Unclassified,true,[],{},{},[],[]
2329,general,general,medium,Untitled Finding,,0.50,"""{\""novelty\"": 0, \""tension_contrast\"": 0, \""materiality\"": 0, \""actionability\"": 0, \""specificity\"": 1, \""metric_quantification\"": 0}""",3,0.50,1,0,"""[]""","""[\""general\""]""","""{\""revenue_impact\"": \""medium\"", \""competitive_impact\"": \""medium\""}""",2025-07-11 11:14:25.492622,2025-07-11 16:14:25.585816,Rev,Unclassified,true,[],{},{},[],[]
